fullVisitorId,hits,newVisits,pageviews,totalTransactionRevenue,transactions,timeOnSite,browser_name,browser_width,browser_height,deviceCategory,operatingSystem,language,country,city,paymentMethod,itemCount
9snfv8zgbgwraswm,37,0,6,35950.0,1,305,Safari,1204,725,Desktop,OS X,fr-FR,France,Paris,CREDIT_CARD ,4
qmty2k75p0htf0we,38,1,11,27700.0,1,501,Chrome,2048,970,Desktop,OS X,fr-FR,France,Le Burgaud,CREDIT_CARD ,4
18120321565700561,39,0,7,66830.0,1,350,Safari,1112,731,Desktop,OS X,fr-FR,France,Saint-Max,CREDIT_CARD ,5
9m452s2s2bqrv1fq,39,0,12,69950.0,1,793,Safari,375,635,Mobile Phone,iOS,fr-FR,France,Toulouse,CREDIT_CARD ,2
xqeqqa0ay7w9w4bx,39,1,10,35950.0,1,592,MIUI Browser,393,667,Mobile Phone,Android,fr-FR,France,Lyon,PayPal ,1
cn2rzgms564asa7c,41,1,8,30950.0,1,503,Edge,1138,546,Desktop,Windows 10,fr-FR,France,,CREDIT_CARD ,4
tt7phvj6pbsv2xrc,42,1,9,35850.0,1,727,Edge,1536,751,Desktop,Windows 10,fr-CA,Canada,Blainville,CREDIT_CARD ,4
wvwd7yvzq6bqcc42,42,0,10,27630.0,1,1274,Chrome,1366,625,Desktop,Windows 10,fr-FR,France,La Roche-sur-Yon,CREDIT_CARD ,3
xt3szmaftaq5089e,42,1,12,70950.0,1,336,Chrome,1920,937,Desktop,Windows 8.1,fr-FR,France,,CREDIT_CARD ,2
y5p2gce8da6szxm5,43,1,9,40450.0,1,1878,Chrome,1280,610,Desktop,Windows 10,fr-FR,France,Paris,CREDIT_CARD ,4
8brqwkkhah64ers5,43,0,7,112500.0,1,833,Chrome Mobile,412,652,Mobile Phone,Android,fr-FR,France,,CREDIT_CARD ,6
fqysjaxk5aj7nr88,44,0,5,37070.0,1,244,Safari,375,635,Mobile Phone,iOS,fr-FR,France,,CREDIT_CARD ,4
dnqvzbbfktwpf64a,44,1,11,29950.0,1,788,Chrome Mobile,412,813,Mobile Phone,Android,fr-FR,France,Champigny-sur-Marne,CREDIT_CARD ,4
64zc3ecs5yv5cnz0,44,0,7,101000.0,1,275,Safari,375,544,Mobile Phone,iOS,fr-FR,France,Roquebrune-Cap-Martin,PayPal ,5
37hs056b70ap9t6a,45,0,10,43550.0,1,405,Safari,375,553,Mobile Phone,iOS,fr-FR,France,Tucquegnieux,CREDIT_CARD ,4
19pzc2e5p81gy8ee,45,1,13,59950.0,1,238,Chrome,1920,1007,Desktop,Windows 10,fr-FR,France,Paris,PayPal ,4
djmz63ny8xdvxjt9,45,1,6,176000.0,1,155,Safari,1440,862,Desktop,OS X,fr-FR,France,Cannes,PayPal ,6
